alert_id,severidade,equipamento_id,sensor_tipo,sensor_id,desvio,unidade,baseline,valor_atual,janela_horas,timestamp,resumo_referencia
ALT-0021,critico,Motor MT-105,temperatura_enrolamento,TMP-044-1,22.0,°C,72.0,94.0,6,2026-08-21T14:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: temperatura dos enrolamentos ficou +22°C acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.
ALT-0022,leve,Motor MT-042,vibracao_mancal,VIB-042-2,1.5, mm/s RMS,2.2,3.7,1,2026-08-21T18:00:00-03:00,Foi observado um desvio leve no Motor MT-042: vibração do mancal ficou +1.5 mm/s RMS acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.
ALT-0023,moderado,Motor MT-017,corrente_fase,CUR-043-1,-24.0, A,390.0,366.0,3,2026-08-21T22:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: corrente de fase ficou -24 A abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.
ALT-0024,critico,Motor MT-105,resistencia_isolamento,ISO-044-2,-31.0, MΩ,30.0,-1.0,6,2026-08-22T02:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: resistência de isolamento ficou -31 MΩ abaixo da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.
ALT-0025,leve,Motor MT-042,pressao_oleo,PRS-042-1,-1.0, bar,3.5,2.5,1,2026-08-22T06:00:00-03:00,Foi observado um desvio leve no Motor MT-042: pressão de óleo ficou -1 bar abaixo da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.
ALT-0026,moderado,Motor MT-017,temperatura_enrolamento,TMP-043-2,16.0,°C,72.0,88.0,3,2026-08-22T10:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: temperatura dos enrolamentos ficou +16°C acima da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.
ALT-0027,critico,Motor MT-105,vibracao_mancal,VIB-044-1,4.3, mm/s RMS,2.2,6.5,6,2026-08-22T14:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: vibração do mancal ficou +4.3 mm/s RMS acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.
ALT-0028,leve,Motor MT-042,corrente_fase,CUR-042-2,20.0, A,390.0,410.0,1,2026-08-22T18:00:00-03:00,Foi observado um desvio leve no Motor MT-042: corrente de fase ficou +20 A acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.
ALT-0029,moderado,Motor MT-017,resistencia_isolamento,ISO-043-1,-14.0, MΩ,30.0,16.0,3,2026-08-22T22:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: resistência de isolamento ficou -14 MΩ abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.
ALT-0030,critico,Motor MT-105,pressao_oleo,PRS-044-2,-2.2, bar,3.5,1.3,6,2026-08-23T02:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: pressão de óleo ficou -2.2 bar abaixo da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.
