alert_id,severidade,equipamento_id,sensor_tipo,sensor_id,desvio,unidade,baseline,valor_atual,janela_horas,timestamp,resumo_referencia,resumo_gerado
ALT-0012,critico,Motor MT-105,vibracao_mancal,VIB-044-2,3.7, mm/s RMS,2.2,5.9,6,2026-08-20T02:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: vibração do mancal ficou +3.7 mm/s RMS acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.,"ALERTA CRÍTICO no Motor MT-105: a vibração do mancal atingiu desvio de +3.7 mm/s RMS acima do baseline nas últimas 6 horas (20/08/2026 às 02:00). Há risco de dano ou indisponibilidade. Planejar parada segura imediata e verificar mancais, alinhamento e possível desbalanceamento. [Fonte: alerta ALT-0012; sensor VIB-044-2]"
ALT-0013,leve,Motor MT-042,corrente_fase,CUR-042-1,18.0, A,390.0,408.0,1,2026-08-20T06:00:00-03:00,Foi observado um desvio leve no Motor MT-042: corrente de fase ficou +18 A acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.,"Atenção: desvio leve no Motor MT-042. A corrente de fase variou +18 A acima do baseline nas últimas 1 horas, com registro em 20/08/2026 às 06:00. Confirmar estabilidade da carga e equilíbrio entre fases. [Fonte: alerta ALT-0013; sensor CUR-042-1]"
ALT-0014,moderado,Motor MT-017,resistencia_isolamento,ISO-043-2,-16.0, MΩ,30.0,14.0,3,2026-08-20T10:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: resistência de isolamento ficou -16 MΩ abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.,"Alerta moderado detectado no Motor MT-017. A resistência de isolamento apresentou desvio de -16 MΩ abaixo do baseline nas últimas 3 horas, com registro em 20/08/2026 às 10:00. Recomenda-se inspecionar umidade, contaminação e integridade do isolamento. [Fonte: alerta ALT-0014; sensor ISO-043-2]"
ALT-0015,critico,Motor MT-105,pressao_oleo,PRS-044-1,-2.2, bar,3.5,1.3,6,2026-08-20T14:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: pressão de óleo ficou -2.2 bar abaixo da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.,ALERTA CRÍTICO no Motor MT-105: a pressão do óleo atingiu desvio de -2.2 bar abaixo do baseline nas últimas 6 horas (20/08/2026 às 14:00). Há risco de dano ou indisponibilidade. Executar parada segura e verificar imediatamente o sistema de lubrificação. [Fonte: alerta ALT-0015; sensor PRS-044-1]
ALT-0016,leve,Motor MT-042,temperatura_enrolamento,TMP-042-2,9.0,°C,72.0,81.0,1,2026-08-20T18:00:00-03:00,Foi observado um desvio leve no Motor MT-042: temperatura dos enrolamentos ficou +9°C acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.,"Atenção: desvio leve no Motor MT-042. A temperatura do enrolamento variou +9°C acima do baseline nas últimas 1 horas, com registro em 20/08/2026 às 18:00. Acompanhar a tendência e confirmar a ventilação do motor na próxima ronda. [Fonte: alerta ALT-0016; sensor TMP-042-2]"
ALT-0017,moderado,Motor MT-017,vibracao_mancal,VIB-043-1,-2.0, mm/s RMS,2.2,0.2,3,2026-08-20T22:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: vibração do mancal ficou -2 mm/s RMS abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.,"Alerta moderado detectado no Motor MT-017. A vibração do mancal apresentou desvio de -2 mm/s RMS abaixo do baseline nas últimas 3 horas, com registro em 20/08/2026 às 22:00. Recomenda-se inspecionar alinhamento, fixações e condição dos mancais. [Fonte: alerta ALT-0017; sensor VIB-043-1]"
ALT-0018,critico,Motor MT-105,corrente_fase,CUR-044-2,52.0, A,390.0,442.0,6,2026-08-21T02:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: corrente de fase ficou +52 A acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.,"ALERTA CRÍTICO no Motor MT-105: a corrente de fase atingiu desvio de +52 A acima do baseline nas últimas 6 horas (21/08/2026 às 02:00). Há risco de dano ou indisponibilidade. Isolar o equipamento conforme procedimento e inspecionar alimentação, conexões e proteção contra sobrecorrente. [Fonte: alerta ALT-0018; sensor CUR-044-2]"
ALT-0019,leve,Motor MT-042,resistencia_isolamento,ISO-042-1,-6.0, MΩ,30.0,24.0,1,2026-08-21T06:00:00-03:00,Foi observado um desvio leve no Motor MT-042: resistência de isolamento ficou -6 MΩ abaixo da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.,"Atenção: desvio leve no Motor MT-042. A resistência de isolamento variou -6 MΩ abaixo do baseline nas últimas 1 horas, com registro em 21/08/2026 às 06:00. Programar nova medição de isolamento e acompanhar a tendência. [Fonte: alerta ALT-0019; sensor ISO-042-1]"
ALT-0020,moderado,Motor MT-017,pressao_oleo,PRS-043-2,-1.8, bar,3.5,1.7,3,2026-08-21T10:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: pressão de óleo ficou -1.8 bar abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.,"Alerta moderado detectado no Motor MT-017. A pressão do óleo apresentou desvio de -1.8 bar abaixo do baseline nas últimas 3 horas, com registro em 21/08/2026 às 10:00. Recomenda-se verificar nível, vazamentos e circuito de lubrificação. [Fonte: alerta ALT-0020; sensor PRS-043-2]"
ALT-0021,critico,Motor MT-105,temperatura_enrolamento,TMP-044-1,22.0,°C,72.0,94.0,6,2026-08-21T14:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: temperatura dos enrolamentos ficou +22°C acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.,"ALERTA CRÍTICO no Motor MT-105: a temperatura do enrolamento atingiu desvio de +22°C acima do baseline nas últimas 6 horas (21/08/2026 às 14:00). Há risco de dano ou indisponibilidade. Reduzir a carga com segurança e inspecionar imediatamente refrigeração, enrolamentos e proteções térmicas. [Fonte: alerta ALT-0021; sensor TMP-044-1]"
ALT-0022,leve,Motor MT-042,vibracao_mancal,VIB-042-2,1.5, mm/s RMS,2.2,3.7,1,2026-08-21T18:00:00-03:00,Foi observado um desvio leve no Motor MT-042: vibração do mancal ficou +1.5 mm/s RMS acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.,"Atenção: desvio leve no Motor MT-042. A vibração do mancal variou +1.5 mm/s RMS acima do baseline nas últimas 1 horas, com registro em 21/08/2026 às 18:00. Acompanhar a tendência e verificar fixações na próxima inspeção. [Fonte: alerta ALT-0022; sensor VIB-042-2]"
ALT-0023,moderado,Motor MT-017,corrente_fase,CUR-043-1,-24.0, A,390.0,366.0,3,2026-08-21T22:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: corrente de fase ficou -24 A abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.,"Alerta moderado detectado no Motor MT-017. A corrente de fase apresentou desvio de -24 A abaixo do baseline nas últimas 3 horas, com registro em 21/08/2026 às 22:00. Recomenda-se medir o desequilíbrio entre fases e revisar conexões elétricas. [Fonte: alerta ALT-0023; sensor CUR-043-1]"
ALT-0024,critico,Motor MT-105,resistencia_isolamento,ISO-044-2,-31.0, MΩ,30.0,-1.0,6,2026-08-22T02:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: resistência de isolamento ficou -31 MΩ abaixo da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.,ALERTA CRÍTICO no Motor MT-105: a resistência de isolamento atingiu desvio de -31 MΩ abaixo do baseline nas últimas 6 horas (22/08/2026 às 02:00). Há risco de dano ou indisponibilidade. Não reenergizar antes da avaliação elétrica e do teste de isolamento conforme procedimento aplicável. [Fonte: alerta ALT-0024; sensor ISO-044-2]
ALT-0025,leve,Motor MT-042,pressao_oleo,PRS-042-1,-1.0, bar,3.5,2.5,1,2026-08-22T06:00:00-03:00,Foi observado um desvio leve no Motor MT-042: pressão de óleo ficou -1 bar abaixo da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.,"Atenção: desvio leve no Motor MT-042. A pressão do óleo variou -1 bar abaixo do baseline nas últimas 1 horas, com registro em 22/08/2026 às 06:00. Acompanhar a tendência e confirmar o nível do lubrificante. [Fonte: alerta ALT-0025; sensor PRS-042-1]"
ALT-0026,moderado,Motor MT-017,temperatura_enrolamento,TMP-043-2,16.0,°C,72.0,88.0,3,2026-08-22T10:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: temperatura dos enrolamentos ficou +16°C acima da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.,"Alerta moderado detectado no Motor MT-017. A temperatura do enrolamento apresentou desvio de +16°C acima do baseline nas últimas 3 horas, com registro em 22/08/2026 às 10:00. Recomenda-se verificar o sistema de refrigeração e a carga aplicada. [Fonte: alerta ALT-0026; sensor TMP-043-2]"
ALT-0027,critico,Motor MT-105,vibracao_mancal,VIB-044-1,4.3, mm/s RMS,2.2,6.5,6,2026-08-22T14:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: vibração do mancal ficou +4.3 mm/s RMS acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.,"ALERTA CRÍTICO no Motor MT-105: a vibração do mancal atingiu desvio de +4.3 mm/s RMS acima do baseline nas últimas 6 horas (22/08/2026 às 14:00). Há risco de dano ou indisponibilidade. Planejar parada segura imediata e verificar mancais, alinhamento e possível desbalanceamento. [Fonte: alerta ALT-0027; sensor VIB-044-1]"
ALT-0028,leve,Motor MT-042,corrente_fase,CUR-042-2,20.0, A,390.0,410.0,1,2026-08-22T18:00:00-03:00,Foi observado um desvio leve no Motor MT-042: corrente de fase ficou +20 A acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.,"Atenção: desvio leve no Motor MT-042. A corrente de fase variou +20 A acima do baseline nas últimas 1 horas, com registro em 22/08/2026 às 18:00. Confirmar estabilidade da carga e equilíbrio entre fases. [Fonte: alerta ALT-0028; sensor CUR-042-2]"
ALT-0029,moderado,Motor MT-017,resistencia_isolamento,ISO-043-1,-14.0, MΩ,30.0,16.0,3,2026-08-22T22:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: resistência de isolamento ficou -14 MΩ abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.,"Alerta moderado detectado no Motor MT-017. A resistência de isolamento apresentou desvio de -14 MΩ abaixo do baseline nas últimas 3 horas, com registro em 22/08/2026 às 22:00. Recomenda-se inspecionar umidade, contaminação e integridade do isolamento. [Fonte: alerta ALT-0029; sensor ISO-043-1]"
ALT-0030,critico,Motor MT-105,pressao_oleo,PRS-044-2,-2.2, bar,3.5,1.3,6,2026-08-23T02:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: pressão de óleo ficou -2.2 bar abaixo da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.,ALERTA CRÍTICO no Motor MT-105: a pressão do óleo atingiu desvio de -2.2 bar abaixo do baseline nas últimas 6 horas (23/08/2026 às 02:00). Há risco de dano ou indisponibilidade. Executar parada segura e verificar imediatamente o sistema de lubrificação. [Fonte: alerta ALT-0030; sensor PRS-044-2]
